gene;ensembl_gene_id;ensembl_peptide_id;UniProt_ID;length;IDR_percentage 
COL4A1;ENSG00000187498;ENSP00000364979;P02462;1669;86,30%
HEPN1;ENSG00000221932;ENSP00000386143;Q6WQI6;88;97,70%
ARHGEF6;ENSG00000129675;ENSP00000359654;Q15052;776;26,50%
MT3;ENSG00000087250;ENSP00000200691;P25713;68;20,60%
HLA-F;ENSG00000235220;ENSP00000393535;P30511;346;19,90%
HEY1;ENSG00000164683;ENSP00000346761;Q9Y5J3;304;62,50%
CA2;ENSG00000104267;ENSP00000285379;P00918;260;0%
MT1E;ENSG00000169715;ENSP00000307706;P04732;61;13,10%
RBCK1;ENSG00000125826;ENSP00000254960;Q9BYM8;510;1%
NFIC;ENSG00000141905;ENSP00000465655;P08651;508;60,80%
TMOD1;ENSG00000136842;ENSP00000378637;P28289;359;52,10%
NFIX;ENSG00000008441;ENSP00000467512;Q14938;502;61%
TSC22D4;ENSG00000166925;ENSP00000300181;Q9Y3Q8;395;90,40%
HDAC9;ENSG00000048052;ENSP00000401669;Q9UKV0;1011;54,20%
KLHL4;ENSG00000102271;ENSP00000498718;Q9C0H6;718;23,10%
PEPD;ENSG00000124299;ENSP00000244137;P12955;493;2,80%
ELOVL2;ENSG00000197977;ENSP00000346693;Q9NXB9;296;14,90%
RASSF2;ENSG00000101265;ENSP00000368710;P50749;326;37,10%
EGFR;ENSG00000146648;ENSP00000345973;P00533;1210;65,10%
CRYAB;ENSG00000109846;ENSP00000499082;P02511;175;14,90%
ZNF217;ENSG00000171940;ENSP00000360526;O75362;1048;84,50%
PMP22;ENSG00000109099;ENSP00000501804;Q01453;160;0%
DLG2;ENSG00000150672;ENSP00000280241;Q15700;870;19,30%
ITGA7;ENSG00000135424;ENSP00000257879;Q13683;1181;16,60%
SEZ6;ENSG00000063015;ENSP00000353440;Q53EL9;994;36,40%
EHD2;ENSG00000024422;ENSP00000439036;Q9NZN4;543;13,10%
ZFP36;ENSG00000128016;ENSP00000469647;P26651;326;86,80%
MT1X;ENSG00000187193;ENSP00000377995;P80297;61;13,10%
LRP4;ENSG00000134569;ENSP00000367888;O75096;1905;56,30%
CLU;ENSG00000120885;ENSP00000315130;P10909;449;13,10%
MLC1;ENSG00000100427;ENSP00000379216;Q15049;377;26,30%
MT2A;ENSG00000125148;ENSP00000245185;P02795;61;0%
IGSF11;ENSG00000144847;ENSP00000406092;Q5DX21;431;47,10%
ASCL1;ENSG00000139352;ENSP00000266744;P50553;236;100%
DENND2A;ENSG00000146966;ENSP00000275884;Q9ULE3;1009;50,90%
LGALS3;ENSG00000131981;ENSP00000254301;P17931;250;46%
ANK2;ENSG00000145362;ENSP00000421067;Q01484;3957;57,20%
GATM;ENSG00000171766;ENSP00000379895;P50440;423;14,80%
GRIK2;ENSG00000164418;ENSP00000508130;Q13002;908;8%
LANCL2;ENSG00000132434;ENSP00000254770;Q9NS86;450;10,70%
ZNF302;ENSG00000089335;ENSP00000391067;Q9NR11;478;43,50%
ZFHX4;ENSG00000091656;ENSP00000498627;Q86UP3;3567;28%
ZSCAN25;ENSG00000197037;ENSP00000377708;Q6NSZ9;544;50,40%
PRUNE2;ENSG00000106772;ENSP00000365908;Q8WUY3;3088;38,80%
TPCN1;ENSG00000186815;ENSP00000335300;Q9ULQ1;816;12,10%
ZNF83;ENSG00000167766;ENSP00000472619;P51522;516;20,90%
U2AF1L4;ENSG00000161265;ENSP00000368258;Q8WU68;220;16,40%
SMIM3;ENSG00000256235;ENSP00000436897;Q9BZL3;60;68,30%
NEDD9;ENSG00000111859;ENSP00000368759;Q14511;834;52,50%
ARL4C;ENSG00000188042;ENSP00000339754;P56559;192;3,60%
DGKG;ENSG00000058866;ENSP00000265022;P49619;791;15,40%
BAZ2B;ENSG00000123636;ENSP00000376534;Q9UIF8;2168;60,60%
CHN1;ENSG00000128656;ENSP00000295497;P15882;459;13,30%
NRCAM;ENSG00000091129;ENSP00000368314;Q92823;1304;15,80%
CD99;ENSG00000002586;ENSP00000479999;P14209;185;99,50%
CPEB4;ENSG00000113742;ENSP00000265085;Q17RY0;729;54,60%
ZNF800;ENSG00000048405;ENSP00000376989;Q2TB10;664;62,70%
CLDN12;ENSG00000157224;ENSP00000287916;P56749;244;22,10%
ZNF680;ENSG00000173041;ENSP00000309330;Q8NEM1;530;24%
ARAP3;ENSG00000120318;ENSP00000239440;Q8WWN8;1544;28,20%
BTBD17;ENSG00000204347;ENSP00000364515;A6NE02;478;13,80%
PARP9;ENSG00000138496;ENSP00000507390;Q8IXQ6;854;13,60%
KCTD13;ENSG00000174943;ENSP00000311202;Q8WZ19;329;28,60%
ARAP2;ENSG00000047365;ENSP00000302895;Q8WZ64;1704;9,20%
CD9;ENSG00000010278;ENSP00000371958;P21926;228;0%
S100A13;ENSG00000189171;ENSP00000520622;Q99584;98;5,10%
DPF3;ENSG00000205683;ENSP00000450518;Q92784;378;58,20%
SKAP2;ENSG00000005020;ENSP00000005587;O75563;359;37,90%
FMNL3;ENSG00000161791;ENSP00000335655;Q8IVF7;1028;30,10%
TPD52;ENSG00000076554;ENSP00000368390;P55327;224;71,90%
RARRES2;ENSG00000106538;ENSP00000223271;Q99969;163;23,30%
CUX1;ENSG00000257923;ENSP00000414091;Q13948;678;39,40%
SYPL1;ENSG00000008282;ENSP00000388336;Q16563;259;15,80%
UNC13A;ENSG00000130477;ENSP00000429562;Q9UPW8;1703;26,80%
FASTK;ENSG00000164896;ENSP00000297532;Q14296;549;13,70%
KHDRBS3;ENSG00000131773;ENSP00000348108;O75525;346;54,60%
SLC20A2;ENSG00000168575;ENSP00000429754;Q08357;652;32,20%
RASSF4;ENSG00000107551;ENSP00000339692;Q9H2L5;321;37,10%
HEPACAM;ENSG00000165478;ENSP00000298251;Q14CZ8;416;43%
SLC4A4;ENSG00000080493;ENSP00000497468;Q9Y6R1;1079;55,70%
HLA-B;ENSG00000234745;ENSP00000399168;P01889;362;23,80%
TMEM175;ENSG00000127419;ENSP00000264771;Q9BSA9;504;15,50%
ARHGEF1;ENSG00000076928;ENSP00000346532;Q92888;912;31,80%
TRIP6;ENSG00000087077;ENSP00000413817;Q15654;476;56,30%
ABCB8;ENSG00000197150;ENSP00000438776;Q9NUT2;735;19,70%
ZNF606;ENSG00000166704;ENSP00000446972;Q8WXB4;792;38,30%
PILRB;ENSG00000121716;ENSP00000391748;Q9UKJ0;227;46,70%
ZNF181;ENSG00000197841;ENSP00000420727;Q2M3W8;571;34,70%
IQCE;ENSG00000106012;ENSP00000485601;Q6IPM2;695;75,80%
EPAS1;ENSG00000116016;ENSP00000263734;Q99814;870;54,30%
NOTCH2;ENSG00000134250;ENSP00000256646;Q04721;2471;22,50%
PDZD2;ENSG00000133401;ENSP00000402033;O15018;2839;47,70%
NDRG2;ENSG00000165795;ENSP00000298687;Q9UN36;371;20,20%
ADAM19;ENSG00000135074;ENSP00000257527;Q9H013;955;33,40%
GFAP;ENSG00000131095;ENSP00000466598;P14136;432;39,60%
QTRT1;ENSG00000213339;ENSP00000250237;Q9BXR0;403;3,20%
MED12L;ENSG00000144893;ENSP00000310760;Q86YW9;2145;38%
OSBPL6;ENSG00000079156;ENSP00000376293;Q9BZF3;934;37,50%
CLIP2;ENSG00000106665;ENSP00000223398;Q9UDT6;1046;43,50%
GADD45B;ENSG00000099860;ENSP00000215631;O75293;160;3,70%
ZNF460;ENSG00000197714;ENSP00000446167;Q14592;562;42,50%
ROBO2;ENSG00000185008;ENSP00000417335;Q9HCK4;1378;40,60%
HTRA1;ENSG00000166033;ENSP00000357980;Q92743;480;12,70%
GNG7;ENSG00000176533;ENSP00000371594;O60262;68;95,60%
LMO3;ENSG00000048540;ENSP00000412479;Q8TAP4;145;16,60%
NELL2;ENSG00000184613;ENSP00000390680;Q99435;816;4,90%
TLK1;ENSG00000198586;ENSP00000411099;Q9UKI8;766;40,20%
NXPH1;ENSG00000122584;ENSP00000384551;P58417;271;43,20%
CYP27A1;ENSG00000135929;ENSP00000258415;Q02318;531;10,70%
EPHA4;ENSG00000116106;ENSP00000281821;P54764;986;11,90%
TFRC;ENSG00000072274;ENSP00000353224;P02786;760;15,80%
COL16A1;ENSG00000084636;ENSP00000362776;Q07092;1604;85,20%
ITPR2;ENSG00000123104;ENSP00000370744;Q14571;2701;1,30%
LAP3;ENSG00000002549;ENSP00000226299;P28838;519;5,60%
APLP1;ENSG00000105290;ENSP00000221891;P51693;650;44%
AGMO;ENSG00000187546;ENSP00000341662;Q6ZNB7;445;1,10%
MGLL;ENSG00000074416;ENSP00000404146;Q99685;303;5,60%
LNPEP;ENSG00000113441;ENSP00000231368;Q9UIQ6;1025;15,20%
LIFR;ENSG00000113594;ENSP00000263409;P42702;1097;53,60%
WASL;ENSG00000106299;ENSP00000223023;O00401;505;57,70%
DPP6;ENSG00000130226;ENSP00000367001;P42658;865;13,90%
SLC1A3;ENSG00000079215;ENSP00000505057;P43003;542;20,30%
TMEM176B;ENSG00000106565;ENSP00000419258;Q3YBM2;270;43%
SPARC;ENSG00000113140;ENSP00000231061;P09486;303;30,10%
CDKN2C;ENSG00000123080;ENSP00000262662;P42773;168;4,80%
PER1;ENSG00000179094;ENSP00000314420;O15534;1290;73%
STYXL1;ENSG00000127952;ENSP00000248600;Q9Y6J8;313;5,10%
TTYH2;ENSG00000141540;ENSP00000269346;Q9BSA4;534;25,30%
RNF180;ENSG00000164197;ENSP00000296615;Q86T96;592;68,80%
KANK2;ENSG00000197256;ENSP00000465650;Q63ZY3;851;63,10%
PEX1;ENSG00000127980;ENSP00000410438;O43933;1283;25,30%
WIPF3;ENSG00000122574;ENSP00000242140;A6NGB9;483;100%
GUCY1A2;ENSG00000152402;ENSP00000431245;P33402;732;19,40%
NCOR2;ENSG00000196498;ENSP00000384018;Q9Y618;2514;56,40%
NRXN1;ENSG00000179915;ENSP00000385017;Q9ULB1;1477;17,80%
KIF21A;ENSG00000139116;ENSP00000354851;Q7Z4S6;1674;30,50%
ABCA5;ENSG00000154265;ENSP00000376443;Q8WWZ7;1642;6%
PROX1;ENSG00000117707;ENSP00000355925;Q92786;737;77,30%
ROBO1;ENSG00000169855;ENSP00000420321;Q9Y6N7;1651;50,20%
NAV2;ENSG00000166833;ENSP00000353871;Q8IVL1;2488;73,30%
ACYP2;ENSG00000170634;ENSP00000378161;P14621;99;0%
RAMP1;ENSG00000132329;ENSP00000254661;O60894;148;20,30%
TMEM178A;ENSG00000152154;ENSP00000281961;Q8NBL3;297;24,60%
ZBTB16;ENSG00000109906;ENSP00000506794;Q05516;673;44,70%
ZBTB20;ENSG00000181722;ENSP00000501561;Q9HC78;741;69,90%
CCDC80;ENSG00000091986;ENSP00000206423;Q76M96;950;52,80%
ATP13A4;ENSG00000127249;ENSP00000383129;Q4VNC1;1196;5,70%
PDE4DIP;ENSG00000178104;ENSP00000482121;Q5VU43;2346;58,10%
TXNIP;ENSG00000265972;ENSP00000462521;Q9H3M7;391;23,50%
MEIS1;ENSG00000143995;ENSP00000272369;O00470;390;59%
EPS15;ENSG00000085832;ENSP00000516332;P42566;896;37,40%
SLC8A1;ENSG00000183023;ENSP00000332931;P32418;973;24,50%
AK4;ENSG00000162433;ENSP00000322175;P27144;223;0%
DOCK7;ENSG00000116641;ENSP00000251157;Q96N67;2140;20,70%
RGS16;ENSG00000143333;ENSP00000356529;O15492;202;36,10%
RFTN2;ENSG00000162944;ENSP00000295049;Q52LD8;501;38,10%
PDPN;ENSG00000162493;ENSP00000294489;Q86YL7;162;93,80%
S100A16;ENSG00000188643;ENSP00000357693;Q96FQ6;103;29,10%
S100A6;ENSG00000197956;ENSP00000357708;P06703;90;0%
BTG2;ENSG00000159388;ENSP00000433553;P78543;158;19,60%
S100A10;ENSG00000197747;ENSP00000357801;P60903;97;5,20%
CLIC4;ENSG00000169504;ENSP00000436538;Q9Y696;253;11,40%
TCIM;ENSG00000176907;ENSP00000319914;Q9NR00;106;100%
B3GLCT;ENSG00000187676;ENSP00000343002;Q6Y288;498;9,80%
YJU2B;ENSG00000104957;ENSP00000465776;P13994;396;60,60%
SPDYE8;ENSG00000273520;ENSP00000498819;P0DUD1;265;38,50%
CYREN;ENSG00000122783;ENSP00000481014;Q9BWK5;157;93%
BMAL1;ENSG00000133794;ENSP00000433571;O00327;626;48,90%
CARMIL1;ENSG00000079691;ENSP00000331983;Q5VZK9;1371;32,80%
SELENOP;ENSG00000250722;ENSP00000420939;P49908;381;25,20%
GRAMD2B;ENSG00000155324;ENSP00000426120;Q96HH9;432;69,70%
PLAAT3;ENSG00000176485;ENSP00000320337;P53816;162;31,50%
DGLUCY;ENSG00000133943;ENSP00000429453;Q7Z3D6;616;4,90%
RSRP1;ENSG00000117616;ENSP00000243189;Q9BUV0;290;99,30%
NOTCH2NLA;ENSG00000264343;ENSP00000476330;Q7Z3S9;236;13,10%
