"","Gene","logFC","AveExpr","t","pval","padj","B","ensembl_gene_id","ensembl_peptide_id","UniProt_ID","length","mean_score","disordered_residues","disorder_percentage","Biological Process","Molecular Function","Cellular Component","KEGG","Reactome","STRING_ID","Nodes","Edges","Degree","Clustering_coefficient"
"11","ZNF37BP",-0.723342406713269,1.0342835853927,-5.46653407058456,7.36370635565349e-06,0.0109976954421685,3.65806832585172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CACNB2",-0.904239747986742,0.630879427664268,-5.37309268606919,9.51927466372372e-06,0.0117877042047961,3.43075118955904,"ENSG00000165995","ENSP00000320025","Q08289",660,0.629818512898331,420,63.7329286798179,"protein localization to cell periphery; positive regulation of calcium ion transmembrane transporter activity; regulation of cation channel activity; calcium ion import; positive regulation of cation channel activity; intracellular calcium ion homeostasis; calcium ion homeostasis; calcium ion transmembrane transport; regulation of calcium ion transmembrane transporter activity; positive regulation of transmembrane transport; positive regulation of calcium ion transmembrane transport; positive regulation of ion transmembrane transporter activity; regulation of monoatomic ion transmembrane transporter activity; positive regulation of transporter activity; regulation of transmembrane transporter activity; heart contraction; AV node cell action potential; AV node cell to bundle of His cell signaling; regulation of high voltage-gated calcium channel activity; heart process; calcium ion transport; AV node cell to bundle of His cell communication; regulation of transporter activity; regulation of presynaptic cytosolic calcium ion concentration; positive regulation of calcium ion transport; protein localization to plasma membrane; regulation of calcium ion transmembrane transport via high voltage-gated calcium channel; calcium ion transmembrane transport via high voltage-gated calcium channel; atrial cardiac muscle cell action potential; atrial cardiac muscle cell to AV node cell signaling; atrial cardiac muscle cell to AV node cell communication; regulation of monoatomic cation transmembrane transport; cardiac muscle contraction; positive regulation of cation transmembrane transport; membrane depolarization during cardiac muscle cell action potential; positive regulation of monoatomic ion transmembrane transport; membrane depolarization during action potential; regulation of calcium ion transmembrane transport; cell-cell signaling involved in cardiac conduction; striated muscle contraction; regulation of voltage-gated calcium channel activity; regulation of metal ion transport; regulation of heart rate by cardiac conduction; regulation of heart contraction; positive regulation of monoatomic ion transport; muscle system process; regulation of monoatomic ion transmembrane transport; neuromuscular junction development; cardiac muscle cell action potential involved in contraction; synapse organization; cell communication involved in cardiac conduction; regulation of calcium ion transport; regulation of cytosolic calcium ion concentration; regulation of blood circulation; neuron cellular homeostasis","actin binding; high voltage-gated calcium channel activity; actin filament binding; voltage-gated calcium channel activity","calcium channel complex; photoreceptor ribbon synapse; L-type voltage-gated calcium channel complex; ribbon synapse; sarcolemma; transmembrane transporter complex; cation channel complex; transporter complex; T-tubule; voltage-gated calcium channel complex","Arrhythmogenic right ventricular cardiomyopathy; Hypertrophic cardiomyopathy; Dilated cardiomyopathy",NA,"9606.ENSP00000320025",430,18194,429,0.193505871075965
"13","METRN",-0.972535837230354,1.116146618609,-5.37291261459976,9.52398872833958e-06,0.0117877042047961,3.43031262077504,"ENSG00000103260","ENSP00000455068","Q9UJH8",293,0.215544520547945,37,12.6712328767123,"radial glial cell differentiation; regulation of neuron projection development; positive regulation of neurogenesis",NA,NA,NA,NA,"9606.ENSP00000455068",168,2327,167,0.155832912488276
"14","LINC00839",-1.05610882604164,0.559396447059368,-5.37062965407168,9.58395769675902e-06,0.0117877042047961,3.42475225037833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","MORF4L1",-1.05331389146937,4.81216169852012,-5.32552383218911,1.08275118126315e-05,0.0125773580272396,3.31654730560086,"ENSG00000185787","ENSP00000331310","Q9UBU8",362,0.359713296398892,92,25.4847645429363,"histone H4 acetylation; positive regulation of double-strand break repair via homologous recombination; histone acetylation; internal peptidyl-lysine acetylation; internal protein amino acid acetylation; peptidyl-lysine acetylation",NA,"Sin3 complex; Sin3-type complex; NuA4 histone acetyltransferase complex; H4/H2A histone acetyltransferase complex; nuclear speck; H4 histone acetyltransferase complex; nuclear chromosome",NA,NA,"9606.ENSP00000331310",782,66798,781,0.216740536458846
"16","EXOSC1",-0.739298084113107,0.768032444620795,-5.26579228640026,1.27879342243263e-05,0.012838089719165,3.16910944089675,"ENSG00000171311","ENSP00000359939","Q9Y3B2",195,0.161237628865979,9,4.63917525773196,NA,NA,"nucleolar exosome (RNase complex); nuclear exosome (RNase complex); cytoplasmic exosome (RNase complex); exosome (RNase complex); exoribonuclease complex",NA,NA,"9606.ENSP00000359939",686,65990,685,0.27875955094549
"17","PSAP",-1.27872048159888,5.42209150221937,-5.24589262807357,1.35079618260859e-05,0.012838089719165,3.12052308533686,"ENSG00000197746","ENSP00000378394","P07602",524,0.15653690248566,23,4.39770554493308,"prostate gland growth; epithelial cell differentiation involved in prostate gland development; ceramide transport; sphingolipid metabolic process; membrane lipid metabolic process; prostate gland development; urogenital system development","glycosphingolipid binding; ceramide binding; protease binding; sphingolipid binding; glycolipid binding; scaffold protein binding","primary lysosome; azurophil granule; vacuolar lumen; azurophil granule membrane","Sphingolipid metabolism",NA,"9606.ENSP00000378394",436,17214,435,0.177753058954394
"18","PDLIM4",-2.0602597973105,1.33295618224027,-5.1992622942922,1.53585197405008e-05,0.013962229967571,3.00660355005279,"ENSG00000131435","ENSP00000253754","P50479",330,0.63771367781155,200,60.790273556231,"excitatory chemical synaptic transmission","actin binding; muscle alpha-actinin binding; alpha-actinin binding; actinin binding","Z disc; I band; dendritic spine; neuron spine; stress fiber; contractile actin filament bundle; recycling endosome; actomyosin; actin filament bundle; sarcomere; myofibril; early endosome; contractile fiber; actin filament; filamentous actin; early endosome membrane; endosome lumen; lamellipodium; cell leading edge","Cytoskeleton in muscle cells",NA,"9606.ENSP00000253754",226,3175,225,0.117063492063492
"19","DNAJB12",-0.6318301107919,0.842380226141964,-5.1523227149112,1.74781695391095e-05,0.0143694125369855,2.89183993738071,"ENSG00000148719","ENSP00000403313","Q9NXW2",375,0.356786096256685,106,28.3422459893048,"cellular response to misfolded protein; response to misfolded protein; chaperone cofactor-dependent protein refolding; 'de novo' post-translational protein folding; 'de novo' protein folding","heat shock protein binding; Hsp70 protein binding",NA,"Protein processing in endoplasmic reticulum",NA,"9606.ENSP00000345575",596,51705,595,0.289222759810995
"20","TM9SF3",-0.680155027767111,0.838795353052609,-5.13672173098129,1.82456842748344e-05,0.0143694125369855,2.85367887918235,"ENSG00000077147","ENSP00000360184","Q9HD45",589,0.156943027210884,31,5.27210884353742,NA,NA,NA,NA,NA,"9606.ENSP00000360184",205,2073,204,0.09026369168357
"21","CHCHD1",-0.689524730600148,0.868850038543394,-4.90281686158296,3.47587818547522e-05,0.0229492396160556,2.28077147378172,"ENSG00000172586","ENSP00000361923","Q96BP2",118,0.524668376068376,45,38.4615384615385,"mitochondrial translation; mitochondrial gene expression",NA,"mitochondrial matrix; mitochondrial inner membrane; mitochondrial protein-containing complex; ribosomal subunit; small ribosomal subunit; organellar ribosome; mitochondrial ribosome; ribosome; organellar small ribosomal subunit; mitochondrial small ribosomal subunit","Ribosome",NA,"9606.ENSP00000361923",564,43562,563,0.27179636290083
"22","MICU1",-0.787158889356472,1.25457105312168,-4.89699354399534,3.53209459370794e-05,0.0229492396160556,2.26649675730992,"ENSG00000107745","ENSP00000354415","Q9BPX6",476,0.289826526315789,106,22.3157894736842,"calcium ion import; intracellular calcium ion homeostasis; calcium ion homeostasis; calcium ion transmembrane transport; hyperosmotic salinity response; positive regulation of mitochondrial calcium ion concentration; calcium ion transport; calcium import into the mitochondrion; regulation of cellular response to osmotic stress; cellular response to salt stress; regulation of response to osmotic stress; mitochondrial calcium ion transmembrane transport; cellular hyperosmotic response; response to salt stress; mitochondrial calcium ion homeostasis; hyperosmotic response; cellular response to osmotic stress; mitochondrial transmembrane transport; protein complex oligomerization","protein heterodimerization activity","mitochondrial inner membrane; mitochondrial protein-containing complex; calcium channel complex; inner mitochondrial membrane protein complex; transmembrane transporter complex; cation channel complex; transporter complex",NA,"Processing of SMDT1; Mitochondrial calcium ion transport","9606.ENSP00000493232",283,8255,282,0.201231670073951
"23","RNF32-DT",-0.561644369116973,0.342997343901064,-4.82989776154397,4.2491389271932e-05,0.0240122286023467,2.10201330807836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","PLCB4",-0.717967316686057,0.347889486068277,-4.79795674800292,4.6398248801709e-05,0.0255300258998667,2.0237102030327,"ENSG00000101333","ENSP00000367762","Q15147",1175,0.291207666098807,371,31.6013628620102,"phosphatidylinositol-mediated signaling; intracellular calcium ion homeostasis; calcium ion homeostasis; lipid catabolic process; calcium ion transmembrane transport; calcium ion transport; release of sequestered calcium ion into cytosol; negative regulation of sequestering of calcium ion; regulation of sequestering of calcium ion; sequestering of calcium ion; calcium ion transmembrane import into cytosol; maintenance of location in cell","phosphatidylinositol phospholipase C activity; phospholipase C activity",NA,"Shigellosis; Platelet activation; Inositol phosphate metabolism; Rap1 signaling pathway; GnRH signaling pathway; Phosphatidylinositol signaling system; AGE-RAGE signaling pathway in diabetic complications",NA,"9606.ENSP00000367762",382,12608,381,0.168904544826634
"25","CDC42",-0.934684669672799,3.85515845099611,-4.75083420256698,5.27782863272729e-05,0.0270914475726177,1.90891868755179,"ENSG00000070831","ENSP00000383118","P60953",191,0.127467894736842,5,2.63157894736842,"cytokinesis; mitotic nuclear division; Wnt signaling pathway, planar cell polarity pathway; regulation of establishment of planar polarity; nuclear chromosome segregation; cardiocyte differentiation; non-canonical Wnt signaling pathway; establishment of planar polarity; establishment of tissue polarity; lamellipodium assembly; lamellipodium organization; morphogenesis of a polarized epithelium; cardiac neural crest cell migration involved in outflow tract morphogenesis; neuron fate determination; epithelial cell proliferation involved in lung morphogenesis; chromosome segregation; heart contraction; cardiac muscle tissue development; endothelin receptor signaling pathway; nuclear division; heart process; regulation of pinocytosis; cardiac neural crest cell development involved in outflow tract morphogenesis; striated muscle tissue development; regulation of pseudopodium assembly; positive regulation of pseudopodium assembly; integrin-mediated signaling pathway; Golgi localization; cardiac neural crest cell differentiation involved in heart development; cardiac neural crest cell development involved in heart development; pseudopodium assembly; organelle fission; small GTPase mediated signal transduction; pseudopodium organization; Cdc42 protein signal transduction; establishment of epithelial cell apical/basal polarity; regulation of animal organ morphogenesis; G protein-coupled receptor signaling pathway involved in heart process; Rho protein signal transduction; dendrite morphogenesis; pinocytosis; regulation of attachment of spindle microtubules to kinetochore; cell migration involved in heart development; establishment of apical/basal cell polarity; establishment of monopolar cell polarity; nuclear migration; polarized epithelial cell differentiation; establishment or maintenance of monopolar cell polarity; establishment of cell polarity; positive regulation of lamellipodium assembly; modification of synaptic structure; transport along microtubule; positive regulation of filopodium assembly; dendritic cell migration; nucleus localization; establishment of epithelial cell polarity; positive regulation of lamellipodium organization; cardiac conduction system development; regulation of protein-containing complex assembly; regulation of plasma membrane bounded cell projection assembly; regulation of lamellipodium assembly; regulation of cell projection assembly; cell fate determination; positive regulation of substrate adhesion-dependent cell spreading; actomyosin structure organization; muscle tissue development; substantia nigra development; lung epithelium development; cytoskeleton-dependent intracellular transport; microtubule-based transport; positive regulation of cytokinesis; phagocytosis, engulfment; attachment of spindle microtubules to kinetochore; establishment or maintenance of cell polarity; modulation by host of viral process; regulation of filopodium assembly; positive regulation of stress fiber assembly; dendrite development; establishment of organelle localization; establishment or maintenance of epithelial cell apical/basal polarity; regulation of lamellipodium organization; phagocytosis; lung morphogenesis; dendritic spine morphogenesis; regulation of synapse organization; synapse organization; stem cell differentiation; adherens junction organization; establishment or maintenance of apical/basal cell polarity; establishment or maintenance of bipolar cell polarity; plasma membrane invagination; regulation of synapse structure or activity; neural crest cell migration; ameboidal-type cell migration; positive regulation of actin filament bundle assembly; mesenchymal cell migration; regulation of substrate adhesion-dependent cell spreading; macrophage differentiation; heart morphogenesis; membrane invagination; neural nucleus development; regulation of actin filament organization","GTPase activity; GTP binding; guanyl nucleotide binding; guanyl ribonucleotide binding; thioesterase binding; GTP-dependent protein binding; G protein activity","focal adhesion; cell-substrate junction; midbody; spindle; dendritic spine; neuron spine; mitotic spindle; filopodium; leading edge membrane; spindle midzone; cell leading edge; actin-based cell projection; vesicle tethering complex; cytoplasmic ribonucleoprotein granule; ribonucleoprotein granule","Shigellosis; Bacterial invasion of epithelial cells; Axon guidance; Leukocyte transendothelial migration; Tight junction; Focal adhesion; Rap1 signaling pathway; Adherens junction; GnRH signaling pathway; Regulation of actin cytoskeleton; AGE-RAGE signaling pathway in diabetic complications","RHOG GTPase cycle; RHO GTPases activate PAKs; RAC2 GTPase cycle; RAC3 GTPase cycle; Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Interleukin-12 signaling","9606.ENSP00000497733",1001,102463,1000,0.203129129129129
"26","ITGB1",-1.35506001541098,2.11373314372457,-4.74327424974907,5.39359008209847e-05,0.0270914475726177,1.88967077458885,"ENSG00000150093","ENSP00000502882","P05556",798,0.299317942283563,137,17.189460476788,"protein localization to cell periphery; regulation of cation channel activity; fibroblast migration; microtubule cytoskeleton organization involved in mitosis; cardiocyte differentiation; lamellipodium assembly; positive regulation of transmembrane transport; regulation of monoatomic ion transmembrane transporter activity; lamellipodium organization; amino acid neurotransmitter reuptake; regulation of transmembrane transporter activity; cardiac muscle tissue development; cardiac muscle cell myoblast differentiation; striated muscle tissue development; integrin-mediated signaling pathway; regulation of transporter activity; spontaneous synaptic transmission; synapse pruning; positive regulation of fibroblast migration; regulation of amino acid import across plasma membrane; CD40 signaling pathway; cardiac cell fate commitment; regulation of amino acid transmembrane transport; small GTPase mediated signal transduction; protein localization to plasma membrane; cell migration in hindbrain; cell-cell adhesion mediated by integrin; L-glutamate import across plasma membrane; cardioblast differentiation; negative regulation of anoikis; cardiac muscle cell differentiation; regulation of neurotransmitter uptake; Rho protein signal transduction; regulation of monoatomic cation transmembrane transport; dendrite morphogenesis; negative regulation of Rho protein signal transduction; wound healing, spreading of epidermal cells; positive regulation of neurotransmitter transport; positive regulation of amino acid transport; regulation of anoikis; establishment of cell polarity; cell junction disassembly; L-glutamate transmembrane transport; regulation of response to wounding; positive regulation of signaling receptor activity; anoikis; mesodermal cell differentiation; leukocyte tethering or rolling; establishment of mitotic spindle orientation; neurotransmitter reuptake; regulation of metal ion transport; basement membrane organization; positive regulation of neuroblast proliferation; wound healing, spreading of cells; epiboly involved in wound healing; muscle cell development; maintenance of blood-brain barrier; cellular response to low-density lipoprotein particle stimulus; epiboly; non-membrane-bounded organelle assembly; regulation of fibroblast migration; L-glutamate import; response to lipoprotein particle; establishment of mitotic spindle localization; positive regulation of amine transport; wound healing; establishment of spindle orientation; cellular response to lipoprotein particle stimulus; actomyosin structure organization; regulation of collagen metabolic process; regulation of amino acid transport; muscle tissue development; neurotransmitter uptake; collagen catabolic process; sarcomere organization; positive regulation of organic acid transport; visual learning; negative regulation of Ras protein signal transduction; regulation of monoatomic ion transmembrane transport; myoblast fusion; establishment or maintenance of cell polarity; amino acid import across plasma membrane; dendrite development; cellular defense response; establishment of organelle localization; regulation of neuroblast proliferation; phagocytosis; negative regulation of small GTPase mediated signal transduction; positive regulation of neurogenesis; visual behavior; regulation of synapse organization; synapse organization; stem cell differentiation; establishment of spindle localization; regulation of potassium ion transmembrane transporter activity; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; leukocyte adhesion to vascular endothelial cell; regulation of synapse structure or activity; morphogenesis of an epithelial sheet; ameboidal-type cell migration; heterotypic cell-cell adhesion; positive regulation of protein localization to plasma membrane; receptor-mediated endocytosis; spindle localization; positive regulation of wound healing; syncytium formation by plasma membrane fusion; cell-cell fusion; positive regulation of neural precursor cell proliferation; acidic amino acid transport; syncytium formation","protein heterodimerization activity; actin binding; protease binding; laminin binding; fibronectin binding; chemokine binding; coreceptor activity; extracellular matrix binding; cell adhesion mediator activity; collagen binding","focal adhesion; cell-substrate junction; cleavage furrow; dendritic spine; neuron spine; cell division site; recycling endosome; neuromuscular junction; filopodium; asymmetric, glutamatergic, excitatory synapse; sarcolemma; integrin complex; leading edge membrane; glial cell projection; lamellipodium; cell leading edge; myelin sheath; actin-based cell projection; intercalated disc; protein complex involved in cell adhesion; excitatory synapse","Shigellosis; Bacterial invasion of epithelial cells; Axon guidance; Leukocyte transendothelial migration; Platelet activation; Tight junction; Focal adhesion; Rap1 signaling pathway; Arrhythmogenic right ventricular cardiomyopathy; Regulation of actin cytoskeleton; Cytoskeleton in muscle cells; Hypertrophic cardiomyopathy; Dilated cardiomyopathy","RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle","9606.ENSP00000379350",1001,133410,1000,0.265085085085085
"27","WSB2",-0.713315416264935,1.73756918457532,-4.71238090910311,5.87215884118622e-05,0.0271827136423187,1.81395860621076,"ENSG00000176871","ENSP00000319474","Q9NYS7",404,0.173992307692308,40,9.92555831265509,NA,NA,NA,NA,NA,"9606.ENSP00000409131",369,8508,368,0.120542589740552
"28","RPS4X",-1.3316342075564,7.11879652625683,-4.69197882973101,6.21116331860886e-05,0.0271827136423187,1.7639661601019,"ENSG00000198034","ENSP00000362744","P62701",263,0.178227480916031,32,12.2137404580153,NA,"structural constituent of ribosome; rRNA binding","focal adhesion; cell-substrate junction; ribosomal subunit; small ribosomal subunit; ribosome; cytosolic small ribosomal subunit; cytoplasmic ribonucleoprotein granule; ribonucleoprotein granule; polysome","Ribosome",NA,"9606.ENSP00000362744",1001,157934,1000,0.314182182182182
"29","INPP5F",-0.916988178722402,0.868978499894393,-4.68351105593335,6.35752393285926e-05,0.0271827136423187,1.74321928937302,"ENSG00000198825","ENSP00000497527","Q9Y2H2",1132,0.389619451812555,368,32.5375773651636,"phosphatidylinositol-mediated signaling; vesicle-mediated transport to the plasma membrane; lipid catabolic process; negative regulation of cell projection organization; cellular lipid catabolic process; endocytic recycling; negative regulation of tyrosine phosphorylation of STAT protein; negative regulation of axon regeneration; positive regulation of receptor recycling; negative regulation of neuron projection regeneration; negative regulation of neuron projection development; regulation of endocytic recycling; negative regulation of receptor signaling pathway via JAK-STAT; regulation of receptor recycling; phosphatidylinositol dephosphorylation; negative regulation of peptidyl-serine phosphorylation; regulation of axon regeneration; regulation of response to wounding; muscle hypertrophy in response to stress; cardiac muscle adaptation; cardiac muscle hypertrophy in response to stress; regulation of neuron projection regeneration; negative regulation of receptor signaling pathway via STAT; glycerophospholipid catabolic process; lipid modification; phospholipid dephosphorylation; receptor recycling; clathrin-dependent endocytosis; muscle system process; regulation of neuron projection development; negative regulation of peptidyl-tyrosine phosphorylation; axon regeneration; phospholipid catabolic process; striated muscle adaptation; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; neuron projection regeneration; endosomal transport; receptor-mediated endocytosis; glycerolipid catabolic process","phosphatidylinositol phosphate 5-phosphatase activity; phosphatidylinositol monophosphate phosphatase activity; inositol phosphate phosphatase activity; phosphatidylinositol phosphate phosphatase activity","recycling endosome; early endosome; early endosome membrane","Inositol phosphate metabolism; Phosphatidylinositol signaling system",NA,"9606.ENSP00000497527",141,1773,140,0.167831449126413
"30","MYL12A",-1.86816786938218,2.24522139279697,-4.68278468779145,6.37023754590663e-05,0.0271827136423187,1.74143968185759,"ENSG00000101608","ENSP00000462171","P19105",171,0.219768235294118,20,11.7647058823529,"protein localization to cell periphery; protein localization to plasma membrane; wound healing","glutamate receptor binding","Z disc; I band; stress fiber; contractile actin filament bundle; actomyosin; actin filament bundle; sarcomere; myofibril; contractile fiber; myosin II complex; myosin complex","Shigellosis; Axon guidance; Leukocyte transendothelial migration; Platelet activation; Tight junction; Focal adhesion; Adherens junction; Regulation of actin cytoskeleton","RHO GTPases activate PAKs","9606.ENSP00000464359",511,25803,510,0.194868831619092
"31","MRPL43",-1.13258536453549,1.93442822444758,-4.67090915803577,6.58172077873048e-05,0.0275234399524951,1.71234607402549,"ENSG00000055950","ENSP00000315364","Q8N983",215,0.501704205607477,95,44.392523364486,"mitochondrial translation; mitochondrial gene expression","structural constituent of ribosome","mitochondrial matrix; mitochondrial inner membrane; mitochondrial protein-containing complex; ribosomal subunit; organellar ribosome; mitochondrial ribosome; ribosome; organellar large ribosomal subunit; mitochondrial large ribosomal subunit","Ribosome",NA,"9606.ENSP00000339844",942,88849,941,0.198765460013114
"32","AHR",-0.881895815672852,0.604634367167791,-4.59050747629451,8.20933457548681e-05,0.0323865993658215,1.51546316076619,"ENSG00000106546","ENSP00000242057","P35869",848,0.558334238488784,469,55.3719008264463,"response to toxic substance; T cell mediated immune response to tumor cell; response to forskolin; cellular response to forskolin; xenobiotic metabolic process; rhythmic process; second-messenger-mediated signaling; regulation of immune response to tumor cell; regulation of response to tumor cell; immune response to tumor cell; negative regulation of T cell mediated immunity; cellular response to xenobiotic stimulus; circadian rhythm; response to tumor cell; cellular response to cAMP; cAMP-mediated signaling; negative regulation of lymphocyte mediated immunity; negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; negative regulation of adaptive immune response; regulation of B cell proliferation","protein heterodimerization activity; TFIID-class transcription factor complex binding; heat shock protein binding; RNA polymerase II general transcription initiation factor binding; TBP-class protein binding; Hsp90 protein binding; transcription coactivator binding; DNA-binding transcription factor binding; nuclear receptor activity; ligand-activated transcription factor activity; general transcription initiation factor binding; E-box binding; basal transcription machinery binding; basal RNA polymerase II transcription machinery binding",NA,"Chemical carcinogenesis - reactive oxygen species","PPARA activates gene expression; Regulation of lipid metabolism by PPARalpha","9606.ENSP00000242057",203,4862,202,0.229545342593961
