"gene","ensembl_gene_id","ensembl_peptide_id","UniProt_ID","length","mean_score","disordered_residues","disorder_percentage","mean_linker_score","linker_residues","linker_percentage","mean_redox_score","redox_residues","redox_percentage","mean_binding_score","binding_residues","binding_percentage"
"BBIP1","ENSG00000214413","ENSP00000436622","A8MTZ0",92,0.585501098901099,51,56.043956043956,0.076256043956044,0,0,0.606395604395604,54,59.3406593406593,0.618615384615385,68,74.7252747252747
"MICU1","ENSG00000107745","ENSP00000354415","Q9BPX6",476,0.289826526315789,106,22.3157894736842,0.0572766315789474,0,0,0.302189684210526,107,22.5263157894737,0.181169894736842,52,10.9473684210526
"TUSC3","ENSG00000104723","ENSP00000371450","Q13454",348,0.266934870317003,60,17.2910662824208,0.0996438040345821,1,0.288184438040346,0.260073198847262,55,15.850144092219,0.0729726224783862,0,0
"GSTO1","ENSG00000148834","ENSP00000358727","P78417",241,0.17412625,22,9.16666666666667,0.06,0,0,0.192620416666667,25,10.4166666666667,0.08330625,2,0.833333333333333
"DNAJB12","ENSG00000148719","ENSP00000403313","Q9NXW2",375,0.356786096256685,106,28.3422459893048,0.190566042780749,42,11.2299465240642,0.395613368983957,138,36.8983957219251,0.329329411764706,69,18.4491978609626
"SGPL1","ENSG00000166224","ENSP00000513482","O95470",568,0.167903703703704,50,8.81834215167548,0.0846137566137566,4,0.705467372134039,0.183141798941799,61,10.7583774250441,0.0748375661375661,6,1.05820105820106
"NDUFB8","ENSG00000166136","ENSP00000520734","O95169",186,0.67975027027027,156,84.3243243243243,0.229061621621622,28,15.1351351351351,0.619443783783784,121,65.4054054054054,0.536730810810811,114,61.6216216216216
"AHR","ENSG00000106546","ENSP00000242057","P35869",848,0.558334238488784,469,55.3719008264463,0.127280637544274,54,6.3754427390791,0.586123140495868,509,60.0944510035419,0.335953246753247,264,31.1688311688312
"CHCHD1","ENSG00000172586","ENSP00000361923","Q96BP2",118,0.524668376068376,45,38.4615384615385,0.116765811965812,0,0,0.66934188034188,86,73.5042735042735,0.474123076923077,52,44.4444444444444
"INPP5F","ENSG00000198825","ENSP00000497527","Q9Y2H2",1132,0.389619451812555,368,32.5375773651636,0.177133068081344,83,7.33863837312113,0.41318691423519,412,36.4279398762157,0.249510875331565,257,22.7232537577365
"EXOSC1","ENSG00000171311","ENSP00000359939","Q9Y3B2",195,0.161237628865979,9,4.63917525773196,0.108615463917526,3,1.54639175257732,0.253742268041237,29,14.9484536082474,0.0497809278350515,0,0
"CTHRC1","ENSG00000164932","ENSP00000330523","Q96CG8",243,0.444345041322314,98,40.495867768595,0.0692479338842975,0,0,0.475634297520661,106,43.801652892562,0.259213636363636,52,21.4876033057851
"METRN","ENSG00000103260","ENSP00000455068","Q9UJH8",293,0.215544520547945,37,12.6712328767123,0.0867674657534247,0,0,0.278342123287671,42,14.3835616438356,0.0820818493150685,0,0
"FAM204A","ENSG00000165669","ENSP00000358183","Q9H8W3",233,0.715212931034483,176,75.8620689655172,0.0621672413793103,0,0,0.7428375,188,81.0344827586207,0.639737068965517,164,70.6896551724138
"SMC3","ENSG00000108055","ENSP00000354720","Q9UQE7",1217,0.396358141447368,591,48.6019736842105,0.221327960526316,32,2.63157894736842,0.405079851973684,602,49.5065789473684,0.262831578947368,167,13.7335526315789
"COTL1","ENSG00000103187","ENSP00000262428","Q14019",142,0.175658865248227,12,8.51063829787234,0.0758241134751773,0,0,0.178998581560284,12,8.51063829787234,0.109129078014184,4,2.83687943262411
"PSAP","ENSG00000197746","ENSP00000378394","P07602",524,0.15653690248566,23,4.39770554493308,0.0743311663479923,0,0,0.277812619502868,83,15.8699808795411,0.0729495219885277,4,0.764818355640535
"XPNPEP1","ENSG00000108039","ENSP00000421566","Q9NQW7",623,0.0904414790996785,0,0,0.0496512861736334,0,0,0.110932797427653,12,1.92926045016077,0.0850578778135048,2,0.321543408360129
"MORF4L1","ENSG00000185787","ENSP00000331310","Q9UBU8",362,0.359713296398892,92,25.4847645429363,0.184437119113573,50,13.8504155124654,0.369441551246537,94,26.0387811634349,0.270736565096953,78,21.606648199446
"ARL3","ENSG00000138175","ENSP00000260746","P36405",182,0.116029281767956,2,1.10497237569061,0.0705685082872928,0,0,0.163344198895028,16,8.83977900552486,0.0564790055248619,0,0
"RGS3","ENSG00000138835","ENSP00000363255","P49796",1198,0.50970208855472,547,45.6975772765246,0.304245697577277,325,27.1512113617377,0.604747451963241,701,58.563074352548,0.242664243943191,171,14.2857142857143
"MRPL43","ENSG00000055950","ENSP00000315364","Q8N983",215,0.501704205607477,95,44.392523364486,0.159960747663551,7,3.27102803738318,0.501214953271028,96,44.8598130841121,0.356645327102804,78,36.4485981308411
"YME1L1","ENSG00000136758","ENSP00000398713","Q96TA2",773,0.197763601036269,83,10.7512953367876,0.0824579015544041,1,0.129533678756477,0.208640803108808,85,11.0103626943005,0.161501295336788,33,4.27461139896373
"CACNB2","ENSG00000165995","ENSP00000320025","Q08289",660,0.629818512898331,420,63.7329286798179,0.0896691957511381,20,3.03490136570561,0.64062564491654,423,64.1881638846737,0.515630804248862,360,54.6282245827011
"ECHS1","ENSG00000127884","ENSP00000357535","P30084",290,0.128401384083045,5,1.73010380622837,0.0750612456747405,0,0,0.164369204152249,19,6.57439446366782,0.096838062283737,4,1.3840830449827
"VPS26A","ENSG00000122958","ENSP00000362480","O75436",327,0.172746012269939,22,6.74846625766871,0.0702871165644172,0,0,0.175794478527607,22,6.74846625766871,0.124603680981595,30,9.20245398773006
"SAR1A","ENSG00000079332","ENSP00000362338","Q9NR31",198,0.0700416243654822,0,0,0.0397258883248731,0,0,0.0710964467005076,0,0,0.0172578680203046,0,0
"PDLIM4","ENSG00000131435","ENSP00000253754","P50479",330,0.63771367781155,200,60.790273556231,0.261203343465046,63,19.1489361702128,0.781125531914894,257,78.1155015197568,0.434601519756839,125,37.9939209726444
"KLHDC8B","ENSG00000185909","ENSP00000327468","Q8IXV7",354,0.0911127478753541,0,0,0.0534090651558074,0,0,0.190400283286119,43,12.1813031161473,0.074242776203966,0,0
"THRAP3","ENSG00000054118","ENSP00000433825","Q9Y2W1",955,0.891984381551363,869,91.0901467505241,0.0287368972746331,0,0,0.899750419287212,883,92.5576519916143,0.752165094339623,796,83.4381551362683
"MCAM","ENSG00000076706","ENSP00000264036","P43121",646,0.408436279069767,214,33.1782945736434,0.128116899224806,18,2.7906976744186,0.50930992248062,286,44.3410852713178,0.249046976744186,84,13.0232558139535
"WSB2","ENSG00000176871","ENSP00000319474","Q9NYS7",404,0.173992307692308,40,9.92555831265509,0.108090322580645,22,5.4590570719603,0.175592307692308,38,9.42928039702233,0.0729578163771712,3,0.744416873449132
"CDC42","ENSG00000070831","ENSP00000383118","P60953",191,0.127467894736842,5,2.63157894736842,0.0658326315789474,0,0,0.152104736842105,11,5.78947368421053,0.0826752631578947,0,0
"ITM2C","ENSG00000135916","ENSP00000322730","Q9NQX7",267,0.368629323308271,79,29.6992481203008,0.0929827067669173,0,0,0.390620676691729,98,36.8421052631579,0.192396992481203,33,12.406015037594
"FHL2","ENSG00000115641","ENSP00000386892","Q14192",279,0.240592805755396,0,0,0.159059712230216,0,0,0.928429136690648,278,100,0.107439568345324,0,0
"SELENOM","ENSG00000198832","ENSP00000384564","Q8WWX9",145,0.431985416666667,52,36.1111111111111,0.102215277777778,0,0,0.434388194444444,52,36.1111111111111,0.111931944444444,1,0.694444444444444
"SEPTIN6","ENSG00000125354","ENSP00000353278","Q14141",434,0.302226096997691,125,28.8683602771363,0.0953193995381062,6,1.38568129330254,0.325695150115473,147,33.9491916859122,0.217336720554273,69,15.9353348729792
"OGA","ENSG00000198408","ENSP00000409973","O60502",916,0.285638142076503,218,23.8251366120219,0.12622218579235,88,9.61748633879781,0.294971038251366,222,24.2622950819672,0.155517049180328,85,9.2896174863388
"CARD19","ENSG00000165233","ENSP00000364613","Q96LW7",228,0.350297797356828,70,30.8370044052863,0.231755066079295,35,15.4185022026432,0.425288986784141,89,39.2070484581498,0.112160352422907,0,0
